# Source: PRIMAP-hist v2.5 (Gütschow et al.),,,
# Unit: Mt CO2 per year (territorial),,,
country,year,co2_mt,yoy_change
China,2018,9907.56,5.79
China,2019,10240.32,3.36
China,2020,10881.52,6.26
China,2021,10006.6,-8.04
China,2022,11055.06,10.48
China,2023,11127.98,0.66
India,1990,1129.69,
India,1991,1152.72,2.04
India,1992,1179.04,2.28
India,1993,1206.62,2.34
India,1994,1226.68,1.66
India,1995,1330.76,8.48
India,1996,1363.71,2.48
India,1997,1506.28,10.45
India,1998,1441.88,-4.28
India,1999,1531.98,6.25
India,2000,1492.29,-2.59
India,2001,1595.44,6.91
India,2002,1676.23,5.06
India,2003,1754.11,4.65
India,2004,1836.88,4.72
India,2005,1806.6,-1.65
India,2006,1795.34,-0.62
India,2007,1932.38,7.63
India,2008,1985.12,2.73
India,2009,2032.95,2.41
India,2010,2008.89,-1.18
India,2011,2172.02,8.12
India,2012,2154.87,-0.79
India,2013,2243.94,4.13
India,2014,2332.26,3.94
India,2015,2336.95,0.2
India,2016,2363.74,1.15
India,2017,2546.7,7.74
India,2018,2458.64,-3.46
India,2019,2467.3,0.35
India,2020,2546.53,3.21
India,2021,2701.66,6.09
India,2022,2644.58,-2.11
India,2023,2725.62,3.06
AOSIS,1990,21.75,
AOSIS,1991,20.94,-3.73
AOSIS,1992,20.42,-2.48
AOSIS,1993,22.01,7.74
AOSIS,1994,22.23,1.03
AOSIS,1995,21.94,-1.3
AOSIS,1996,23.21,5.78
AOSIS,1997,23.31,0.41
AOSIS,1998,22.47,-3.6
AOSIS,1999,23.79,5.9
AOSIS,2000,23.56,-0.98
AOSIS,2001,22.9,-2.79
AOSIS,2002,24.57,7.27
AOSIS,2003,24.48,-0.38
AOSIS,2004,24.23,-1.02
AOSIS,2005,25.44,5.02
AOSIS,2006,25.69,0.97
AOSIS,2007,25.15,-2.12
AOSIS,2008,26.17,4.07
AOSIS,2009,26.93,2.89
AOSIS,2010,25.84,-4.05
AOSIS,2011,26.97,4.41
AOSIS,2012,26.94,-0.12
AOSIS,2013,29.06,7.86
AOSIS,2014,25.94,-10.72
AOSIS,2015,28.33,9.19
AOSIS,2016,27.76,-2.0
AOSIS,2017,28.2,1.59
AOSIS,2018,30.19,7.04
AOSIS,2019,28.82,-4.53
AOSIS,2020,31.06,7.75
AOSIS,2021,28.98,-6.68
AOSIS,2022,29.95,3.35
AOSIS,2023,29.47,-1.61
Korea,1990,411.3,
Korea,1991,426.2,3.62
Korea,1992,427.15,0.22
Korea,1993,438.85,2.74
Korea,1994,413.71,-5.73
Korea,1995,473.85,14.54
Korea,1996,450.13,-5.01
Korea,1997,481.74,7.02
Korea,1998,449.21,-6.75
Korea,1999,472.71,5.23
Korea,2000,519.01,9.79
Korea,2001,466.89,-10.04
Korea,2002,463.05,-0.82
Korea,2003,482.16,4.13
Korea,2004,502.62,4.24
Korea,2005,511.42,1.75
Korea,2006,526.0,2.85
Korea,2007,507.85,-3.45
Korea,2008,492.34,-3.05
Korea,2009,515.78,4.76
Korea,2010,547.65,6.18
Korea,2011,540.85,-1.24
Korea,2012,507.17,-6.23
Korea,2013,543.63,7.19
Korea,2014,572.65,5.34
Korea,2015,590.41,3.1
Korea,2016,569.84,-3.48
Korea,2017,571.05,0.21
Korea,2018,549.95,-3.7
Korea,2019,562.01,2.19
Korea,2020,582.82,3.7
Korea,2021,596.27,2.31
Korea,2022,603.12,1.15
Korea,2023,589.62,-2.24
Saudi,1990,452.79,
Saudi,1991,463.95,2.46
Saudi,1992,464.36,0.09
Saudi,1993,496.49,6.92
Saudi,1994,458.91,-7.57
Saudi,1995,494.16,7.68
Saudi,1996,512.0,3.61
Saudi,1997,534.55,4.41
Saudi,1998,518.35,-3.03
Saudi,1999,538.99,3.98
Saudi,2000,522.96,-2.97
Saudi,2001,523.37,0.08
Saudi,2002,530.41,1.34
Saudi,2003,572.47,7.93
Saudi,2004,569.93,-0.44
Saudi,2005,567.63,-0.4
Saudi,2006,621.98,9.57
Saudi,2007,570.96,-8.2
Saudi,2008,588.29,3.04
Saudi,2009,588.96,0.11
Saudi,2010,585.68,-0.56
Saudi,2011,637.02,8.77
Saudi,2012,628.85,-1.28
Saudi,2013,582.18,-7.42
Saudi,2014,606.36,4.15
Saudi,2015,627.71,3.52
Saudi,2016,640.48,2.03
Saudi,2017,606.25,-5.34
Saudi,2018,594.68,-1.91
Saudi,2019,607.05,2.08
Saudi,2020,648.51,6.83
Saudi,2021,653.9,0.83
Saudi,2022,668.82,2.28
Saudi,2023,652.57,-2.43
Japan,1990,1362.07,
Japan,1991,1316.8,-3.32
Japan,1992,1403.48,6.58
Japan,1993,1392.93,-0.75
Japan,1994,1406.2,0.95
Japan,1995,1385.51,-1.47
Japan,1996,1333.61,-3.75
Japan,1997,1382.96,3.7
Japan,1998,1311.65,-5.16
Japan,1999,1279.05,-2.49
Japan,2000,1272.61,-0.5
Japan,2001,1258.21,-1.13
Japan,2002,1186.14,-5.73
Japan,2003,1262.33,6.42
Japan,2004,1253.65,-0.69
Japan,2005,1218.81,-2.78
Japan,2006,1193.95,-2.04
Japan,2007,1221.43,2.3
Japan,2008,1257.43,2.95
Japan,2009,1185.08,-5.75
Japan,2010,1153.76,-2.64
Japan,2011,1138.91,-1.29
Japan,2012,1144.96,0.53
Japan,2013,1092.17,-4.61
Japan,2014,1118.9,2.45
Japan,2015,1113.04,-0.52
Japan,2016,1159.69,4.19
Japan,2017,1117.52,-3.64
Japan,2018,1107.98,-0.85
Japan,2019,1039.79,-6.15
Japan,2020,1071.51,3.05
Japan,2021,1002.79,-6.41
Japan,2022,1035.76,3.29
Japan,2023,1026.78,-0.87
AILAC,1990,150.46,
AILAC,1991,165.34,9.89
AILAC,1992,160.65,-2.83
AILAC,1993,150.81,-6.12
AILAC,1994,164.61,9.15
AILAC,1995,161.9,-1.65
AILAC,1996,165.89,2.46
AILAC,1997,170.21,2.6
AILAC,1998,171.83,0.95
AILAC,1999,161.31,-6.12
AILAC,2000,167.76,4.0
AILAC,2001,179.85,7.21
AILAC,2002,184.7,2.69
AILAC,2003,190.0,2.87
AILAC,2004,191.55,0.81
AILAC,2005,172.37,-10.01
AILAC,2006,189.97,10.21
AILAC,2007,176.87,-6.89
AILAC,2008,198.82,12.41
AILAC,2009,193.08,-2.89
AILAC,2010,186.97,-3.16
AILAC,2011,207.37,10.91
AILAC,2012,201.38,-2.89
AILAC,2013,188.22,-6.53
AILAC,2014,203.29,8.01
AILAC,2015,199.04,-2.09
AILAC,2016,206.17,3.58
AILAC,2017,204.56,-0.78
AILAC,2018,218.07,6.6
AILAC,2019,202.39,-7.19
AILAC,2020,215.43,6.44
AILAC,2021,227.1,5.42
AILAC,2022,211.97,-6.66
AILAC,2023,220.73,4.13
AGN,1990,105.64,
AGN,1991,104.15,-1.41
AGN,1992,109.79,5.42
AGN,1993,109.37,-0.39
AGN,1994,107.27,-1.91
AGN,1995,117.66,9.68
AGN,1996,115.79,-1.59
AGN,1997,113.88,-1.65
AGN,1998,113.59,-0.25
AGN,1999,114.39,0.71
AGN,2000,122.88,7.42
AGN,2001,119.32,-2.89
AGN,2002,122.87,2.97
AGN,2003,121.87,-0.81
AGN,2004,126.19,3.54
AGN,2005,124.81,-1.09
AGN,2006,129.5,3.76
AGN,2007,127.25,-1.74
AGN,2008,132.52,4.14
AGN,2009,133.29,0.58
AGN,2010,131.54,-1.31
AGN,2011,129.91,-1.24
AGN,2012,130.9,0.76
AGN,2013,133.03,1.62
AGN,2014,133.34,0.24
AGN,2015,142.35,6.76
AGN,2016,139.9,-1.72
AGN,2017,148.11,5.87
AGN,2018,152.56,3.01
AGN,2019,144.25,-5.45
AGN,2020,138.74,-3.82
AGN,2021,145.17,4.63
AGN,2022,147.87,1.86
AGN,2023,142.87,-3.38
LMDC,1990,555.79,
LMDC,1991,572.08,2.93
LMDC,1992,566.48,-0.98
LMDC,1993,568.19,0.3
LMDC,1994,575.4,1.27
LMDC,1995,627.95,9.13
LMDC,1996,600.31,-4.4
LMDC,1997,595.2,-0.85
LMDC,1998,610.69,2.6
LMDC,1999,642.69,5.24
LMDC,2000,619.02,-3.68
LMDC,2001,648.44,4.75
LMDC,2002,660.52,1.86
LMDC,2003,668.29,1.18
LMDC,2004,688.55,3.03
LMDC,2005,656.97,-4.59
LMDC,2006,698.14,6.27
LMDC,2007,666.17,-4.58
LMDC,2008,681.4,2.29
LMDC,2009,721.8,5.93
LMDC,2010,721.37,-0.06
LMDC,2011,711.24,-1.4
LMDC,2012,692.72,-2.6
LMDC,2013,737.83,6.51
LMDC,2014,718.94,-2.56
LMDC,2015,719.49,0.08
LMDC,2016,732.67,1.83
LMDC,2017,759.98,3.73
LMDC,2018,713.14,-6.16
LMDC,2019,777.12,8.97
LMDC,2020,780.05,0.38
LMDC,2021,769.47,-1.36
LMDC,2022,814.99,5.92
LMDC,2023,812.23,-0.34
Multi,1990,343.63,
Multi,1991,347.37,1.09
Multi,1992,366.49,5.5
Multi,1993,346.97,-5.33
Multi,1994,364.33,5.0
Multi,1995,365.45,0.31
Multi,1996,377.79,3.38
Multi,1997,383.92,1.62
Multi,1998,386.43,0.65
Multi,1999,403.79,4.49
Multi,2000,397.7,-1.51
Multi,2001,395.72,-0.5
Multi,2002,389.32,-1.62
Multi,2003,417.35,7.2
Multi,2004,419.54,0.53
Multi,2005,435.67,3.84
Multi,2006,412.54,-5.31
Multi,2007,426.84,3.47
Multi,2008,430.24,0.8
Multi,2009,434.36,0.96
Multi,2010,440.14,1.33
Multi,2011,421.64,-4.2
Multi,2012,460.11,9.13
Multi,2013,462.39,0.49
Multi,2014,473.53,2.41
Multi,2015,493.71,4.26
Multi,2016,462.53,-6.32
Multi,2017,470.99,1.83
Multi,2018,476.14,1.09
Multi,2019,508.5,6.8
Multi,2020,459.81,-9.57
Multi,2021,496.63,8.01
Multi,2022,472.2,-4.92
Multi,2023,459.89,-2.61
Canada,1990,710.17,
Canada,1991,718.45,1.17
Canada,1992,766.87,6.74
Canada,1993,717.37,-6.45
Canada,1994,725.1,1.08
Canada,1995,698.34,-3.69
Canada,1996,730.26,4.57
Canada,1997,687.15,-5.9
Canada,1998,732.0,6.53
Canada,1999,676.89,-7.53
Canada,2000,675.34,-0.23
Canada,2001,687.24,1.76
Canada,2002,678.74,-1.24
Canada,2003,700.47,3.2
Canada,2004,667.68,-4.68
Canada,2005,634.93,-4.91
Canada,2006,641.35,1.01
Canada,2007,634.74,-1.03
Canada,2008,653.27,2.92
Canada,2009,640.17,-2.01
Canada,2010,624.16,-2.5
Canada,2011,636.09,1.91
Canada,2012,603.71,-5.09
Canada,2013,604.48,0.13
Canada,2014,603.74,-0.12
Canada,2015,621.23,2.9
Canada,2016,585.78,-5.71
Canada,2017,574.93,-1.85
Canada,2018,556.53,-3.2
Canada,2019,579.77,4.18
Canada,2020,551.7,-4.84
Canada,2021,560.84,1.66
Canada,2022,517.34,-7.76
Canada,2023,559.13,8.08
Australia,1990,275.53,
Australia,1991,283.91,3.04
Australia,1992,303.73,6.98
Australia,1993,286.14,-5.79
Australia,1994,301.04,5.21
Australia,1995,306.13,1.69
Australia,1996,299.88,-2.04
Australia,1997,325.43,8.52
Australia,1998,330.75,1.63
Australia,1999,301.27,-8.91
Australia,2000,309.82,2.84
Australia,2001,335.53,8.3
Australia,2002,318.33,-5.13
Australia,2003,331.06,4.0
Australia,2004,339.98,2.69
Australia,2005,349.46,2.79
Australia,2006,343.72,-1.64
Australia,2007,350.73,2.04
Australia,2008,345.18,-1.58
Australia,2009,370.96,7.47
Australia,2010,355.44,-4.18
Australia,2011,368.2,3.59
Australia,2012,362.53,-1.54
Australia,2013,373.06,2.9
Australia,2014,373.67,0.16
Australia,2015,377.4,1.0
Australia,2016,371.29,-1.62
Australia,2017,395.87,6.62
Australia,2018,406.88,2.78
Australia,2019,396.88,-2.46
Australia,2020,406.44,2.41
Australia,2021,411.48,1.24
Australia,2022,416.36,1.18
Australia,2023,412.49,-0.93
Norway,1990,26.77,
Norway,1991,27.64,3.25
Norway,1992,27.34,-1.09
Norway,1993,26.82,-1.91
Norway,1994,27.99,4.36
Norway,1995,26.71,-4.58
Norway,1996,28.65,7.27
Norway,1997,29.35,2.47
Norway,1998,30.42,3.65
Norway,1999,29.81,-2.01
Norway,2000,30.86,3.5
Norway,2001,30.36,-1.6
Norway,2002,29.76,-1.98
Norway,2003,29.73,-0.1
Norway,2004,30.47,2.5
Norway,2005,30.43,-0.15
Norway,2006,32.68,7.4
Norway,2007,32.21,-1.44
Norway,2008,33.32,3.43
Norway,2009,33.17,-0.44
Norway,2010,34.49,3.97
Norway,2011,34.86,1.07
Norway,2012,33.46,-4.0
Norway,2013,34.18,2.15
Norway,2014,34.25,0.2
Norway,2015,33.44,-2.37
Norway,2016,36.21,8.29
Norway,2017,37.11,2.49
Norway,2018,36.17,-2.54
Norway,2019,35.98,-0.53
Norway,2020,38.07,5.81
Norway,2021,34.58,-9.15
Norway,2022,37.74,9.13
Norway,2023,38.05,0.81
UK,1990,419.69,
UK,1991,441.01,5.08
UK,1992,431.9,-2.07
UK,1993,412.76,-4.43
UK,1994,411.29,-0.36
UK,1995,403.94,-1.79
UK,1996,398.82,-1.27
UK,1997,385.63,-3.31
UK,1998,414.18,7.41
UK,1999,406.21,-1.92
UK,2000,399.75,-1.59
UK,2001,374.04,-6.43
UK,2002,406.99,8.81
UK,2003,401.96,-1.24
UK,2004,377.88,-5.99
UK,2005,362.01,-4.2
UK,2006,358.86,-0.87
UK,2007,369.36,2.93
UK,2008,351.23,-4.91
UK,2009,357.09,1.67
UK,2010,365.35,2.31
UK,2011,334.31,-8.5
UK,2012,367.33,9.88
UK,2013,358.93,-2.29
UK,2014,326.57,-9.02
UK,2015,321.27,-1.62
UK,2016,329.02,2.41
UK,2017,318.03,-3.34
UK,2018,321.95,1.23
UK,2019,296.01,-8.06
UK,2020,315.02,6.42
UK,2021,330.5,4.91
UK,2022,299.5,-9.38
UK,2023,303.71,1.41
Germany,1990,882.71,
Germany,1991,933.62,5.77
Germany,1992,902.02,-3.38
Germany,1993,952.65,5.61
Germany,1994,897.86,-5.75
Germany,1995,874.53,-2.6
Germany,1996,890.95,1.88
Germany,1997,855.37,-3.99
Germany,1998,826.06,-3.43
Germany,1999,860.44,4.16
Germany,2000,840.37,-2.33
Germany,2001,841.06,0.08
Germany,2002,838.3,-0.33
Germany,2003,808.47,-3.56
Germany,2004,823.4,1.85
Germany,2005,847.18,2.89
Germany,2006,770.78,-9.02
Germany,2007,830.5,7.75
Germany,2008,775.75,-6.59
Germany,2009,755.73,-2.58
Germany,2010,821.35,8.68
Germany,2011,761.2,-7.32
Germany,2012,780.58,2.55
Germany,2013,760.04,-2.63
Germany,2014,696.92,-8.3
Germany,2015,728.63,4.55
Germany,2016,706.76,-3.0
Germany,2017,681.57,-3.56
Germany,2018,664.92,-2.44
Germany,2019,696.45,4.74
Germany,2020,698.55,0.3
Germany,2021,686.43,-1.74
Germany,2022,664.41,-3.21
Germany,2023,646.77,-2.66
France,1990,400.77,
France,1991,402.64,0.47
France,1992,393.34,-2.31
France,1993,399.93,1.67
France,1994,398.57,-0.34
France,1995,384.67,-3.49
France,1996,389.03,1.13
France,1997,379.36,-2.49
France,1998,384.63,1.39
France,1999,386.94,0.6
France,2000,379.62,-1.89
France,2001,379.36,-0.07
France,2002,352.16,-7.17
France,2003,362.81,3.03
France,2004,366.46,1.01
France,2005,366.82,0.1
France,2006,339.28,-7.51
France,2007,354.5,4.49
France,2008,361.92,2.09
France,2009,343.89,-4.98
France,2010,341.23,-0.77
France,2011,343.24,0.59
France,2012,337.6,-1.64
France,2013,338.29,0.2
France,2014,328.75,-2.82
France,2015,325.98,-0.84
France,2016,313.43,-3.85
France,2017,315.8,0.76
France,2018,325.68,3.13
France,2019,308.44,-5.29
France,2020,305.25,-1.03
France,2021,298.79,-2.12
France,2022,306.8,2.68
France,2023,288.59,-5.94
Mexico,1990,323.6,
Mexico,1991,310.08,-4.18
Mexico,1992,312.85,0.89
Mexico,1993,329.17,5.22
Mexico,1994,332.49,1.01
Mexico,1995,338.24,1.73
Mexico,1996,350.12,3.51
Mexico,1997,339.1,-3.15
Mexico,1998,352.02,3.81
Mexico,1999,341.86,-2.89
Mexico,2000,368.93,7.92
Mexico,2001,366.37,-0.69
Mexico,2002,369.45,0.84
Mexico,2003,369.72,0.07
Mexico,2004,362.94,-1.83
Mexico,2005,372.06,2.51
Mexico,2006,385.52,3.62
Mexico,2007,383.63,-0.49
Mexico,2008,389.34,1.49
Mexico,2009,375.96,-3.44
Mexico,2010,398.15,5.9
Mexico,2011,391.75,-1.61
Mexico,2012,390.97,-0.2
Mexico,2013,406.26,3.91
Mexico,2014,389.24,-4.19
Mexico,2015,424.97,9.18
Mexico,2016,431.04,1.43
Mexico,2017,423.67,-1.71
Mexico,2018,415.63,-1.9
Mexico,2019,420.19,1.1
Mexico,2020,434.52,3.41
Mexico,2021,408.52,-5.98
Mexico,2022,447.01,9.42
Mexico,2023,457.59,2.37
Indonesia,1990,285.31,
Indonesia,1991,296.5,3.92
Indonesia,1992,315.63,6.45
Indonesia,1993,330.32,4.65
Indonesia,1994,351.0,6.26
Indonesia,1995,352.99,0.57
Indonesia,1996,358.19,1.47
Indonesia,1997,373.48,4.27
Indonesia,1998,393.82,5.45
Indonesia,1999,423.53,7.54
Indonesia,2000,413.59,-2.35
Indonesia,2001,416.96,0.82
Indonesia,2002,431.94,3.59
Indonesia,2003,427.77,-0.97
Indonesia,2004,474.08,10.83
Indonesia,2005,462.7,-2.4
Indonesia,2006,477.03,3.1
Indonesia,2007,478.19,0.24
Indonesia,2008,503.8,5.36
Indonesia,2009,543.35,7.85
Indonesia,2010,525.67,-3.25
Indonesia,2011,530.76,0.97
Indonesia,2012,576.18,8.56
Indonesia,2013,580.08,0.68
Indonesia,2014,606.81,4.61
Indonesia,2015,625.6,3.1
Indonesia,2016,624.8,-0.13
Indonesia,2017,613.08,-1.88
Indonesia,2018,648.46,5.77
Indonesia,2019,673.8,3.91
Indonesia,2020,664.96,-1.31
Indonesia,2021,660.01,-0.74
Indonesia,2022,725.96,9.99
Indonesia,2023,706.76,-2.64
South Africa,1990,290.39,
South Africa,1991,297.92,2.59
South Africa,1992,310.88,4.35
South Africa,1993,307.75,-1.01
South Africa,1994,306.03,-0.56
South Africa,1995,319.3,4.34
South Africa,1996,337.08,5.57
South Africa,1997,333.8,-0.97
South Africa,1998,330.79,-0.9
South Africa,1999,316.98,-4.17
South Africa,2000,369.15,16.46
South Africa,2001,323.51,-12.36
South Africa,2002,335.57,3.73
South Africa,2003,335.94,0.11
South Africa,2004,363.85,8.31
South Africa,2005,355.12,-2.4
South Africa,2006,339.3,-4.45
South Africa,2007,361.14,6.43
South Africa,2008,367.98,1.9
South Africa,2009,362.32,-1.54
South Africa,2010,356.07,-1.73
South Africa,2011,365.26,2.58
South Africa,2012,372.22,1.91
South Africa,2013,381.2,2.41
South Africa,2014,378.72,-0.65
South Africa,2015,397.07,4.85
South Africa,2016,381.1,-4.02
South Africa,2017,375.49,-1.47
South Africa,2018,390.97,4.12
South Africa,2019,419.95,7.41
South Africa,2020,400.39,-4.66
South Africa,2021,440.05,9.91
South Africa,2022,421.08,-4.31
South Africa,2023,404.11,-4.03
Egypt,1990,170.62,
Egypt,1991,178.54,4.64
Egypt,1992,173.16,-3.02
Egypt,1993,194.7,12.44
Egypt,1994,178.53,-8.3
Egypt,1995,190.05,6.46
Egypt,1996,196.76,3.53
Egypt,1997,190.13,-3.37
Egypt,1998,187.23,-1.52
Egypt,1999,193.65,3.43
Egypt,2000,199.65,3.1
Egypt,2001,205.0,2.68
Egypt,2002,202.34,-1.29
Egypt,2003,195.67,-3.3
Egypt,2004,206.76,5.67
Egypt,2005,204.53,-1.08
Egypt,2006,197.18,-3.6
Egypt,2007,208.79,5.89
Egypt,2008,206.24,-1.22
Egypt,2009,221.58,7.44
Egypt,2010,232.83,5.08
Egypt,2011,234.64,0.78
Egypt,2012,220.64,-5.97
Egypt,2013,223.57,1.33
Egypt,2014,233.73,4.55
Egypt,2015,238.61,2.09
Egypt,2016,230.57,-3.37
Egypt,2017,234.74,1.81
Egypt,2018,253.76,8.1
Egypt,2019,239.48,-5.63
Egypt,2020,238.97,-0.21
Egypt,2021,245.63,2.79
Egypt,2022,251.3,2.31
Egypt,2023,241.61,-3.85
Türkiye,1990,319.6,
Türkiye,1991,314.73,-1.52
Türkiye,1992,327.52,4.07
Türkiye,1993,353.25,7.86
Türkiye,1994,346.09,-2.03
Türkiye,1995,341.75,-1.26
Türkiye,1996,337.13,-1.35
Türkiye,1997,347.7,3.14
Türkiye,1998,366.31,5.35
Türkiye,1999,353.21,-3.58
Türkiye,2000,379.21,7.36
Türkiye,2001,352.39,-7.07
Türkiye,2002,368.45,4.56
Türkiye,2003,395.47,7.33
Türkiye,2004,357.07,-9.71
Türkiye,2005,397.79,11.4
Türkiye,2006,366.68,-7.82
Türkiye,2007,391.32,6.72
Türkiye,2008,394.47,0.8
Türkiye,2009,410.57,4.08
Türkiye,2010,366.49,-10.74
Türkiye,2011,385.41,5.16
Türkiye,2012,406.07,5.36
Türkiye,2013,417.68,2.86
Türkiye,2014,410.07,-1.82
Türkiye,2015,422.68,3.08
Türkiye,2016,414.35,-1.97
Türkiye,2017,428.56,3.43
Türkiye,2018,426.8,-0.41
Türkiye,2019,445.3,4.33
Türkiye,2020,453.98,1.95
Türkiye,2021,469.7,3.46
Türkiye,2022,445.53,-5.15
Türkiye,2023,454.24,1.96
Maldives,1990,1.05,
Maldives,1991,1.05,0.25
Maldives,1992,1.08,2.01
Maldives,1993,1.04,-3.34
Maldives,1994,1.12,7.4
Maldives,1995,1.09,-2.64
Maldives,1996,1.1,1.08
Maldives,1997,1.09,-0.78
Maldives,1998,1.2,9.94
Maldives,1999,1.17,-2.65
Maldives,2000,1.23,5.08
Maldives,2001,1.21,-1.43
Maldives,2002,1.15,-4.82
Maldives,2003,1.19,3.09
Maldives,2004,1.27,6.88
Maldives,2005,1.22,-3.43
Maldives,2006,1.22,0.07
Maldives,2007,1.27,3.92
Maldives,2008,1.29,1.06
Maldives,2009,1.27,-1.5
Maldives,2010,1.31,3.18
Maldives,2011,1.31,0.56
Maldives,2012,1.24,-5.48
Maldives,2013,1.38,11.16
Maldives,2014,1.34,-2.93
Maldives,2015,1.44,7.55
Maldives,2016,1.35,-6.18
Maldives,2017,1.35,-0.38
Maldives,2018,1.48,9.75
Maldives,2019,1.37,-7.16
Maldives,2020,1.43,3.95
Maldives,2021,1.49,4.74
Maldives,2022,1.47,-1.84
Maldives,2023,1.42,-3.14
Marshall Is,1990,0.14,
Marshall Is,1991,0.14,0.13
Marshall Is,1992,0.15,5.79
Marshall Is,1993,0.15,-0.78
Marshall Is,1994,0.16,8.54
Marshall Is,1995,0.14,-11.81
Marshall Is,1996,0.15,6.4
Marshall Is,1997,0.15,-1.98
Marshall Is,1998,0.16,8.15
Marshall Is,1999,0.16,0.19
Marshall Is,2000,0.16,0.95
Marshall Is,2001,0.16,-3.4
Marshall Is,2002,0.16,1.23
Marshall Is,2003,0.15,-2.87
Marshall Is,2004,0.17,13.18
Marshall Is,2005,0.17,-2.38
Marshall Is,2006,0.17,-1.22
Marshall Is,2007,0.18,4.72
Marshall Is,2008,0.18,0.52
Marshall Is,2009,0.18,1.71
Marshall Is,2010,0.17,-6.62
Marshall Is,2011,0.17,3.92
Marshall Is,2012,0.18,3.83
Marshall Is,2013,0.18,1.48
Marshall Is,2014,0.19,2.8
Marshall Is,2015,0.18,-4.81
