# Source: UNFCCC participant statistics (provisional list of attendees),,,
country,cop,delegation_size
Chile,COP25,170
Chile,COP26,189
Chile,COP27,209
Chile,COP28,213
Chile,COP29,225
Chile,COP30,194
Peru,COP25,100
Peru,COP26,114
Peru,COP27,134
Peru,COP28,125
Peru,COP29,96
Peru,COP30,119
Costa Rica,COP25,85
Costa Rica,COP26,90
Costa Rica,COP27,79
Costa Rica,COP28,77
Costa Rica,COP29,65
Costa Rica,COP30,68
Vietnam,COP25,130
Vietnam,COP26,136
Vietnam,COP27,137
Vietnam,COP28,123
Vietnam,COP29,115
Vietnam,COP30,119
Thailand,COP25,97
Thailand,COP26,117
Thailand,COP27,84
Thailand,COP28,106
Thailand,COP29,114
Thailand,COP30,126
Philippines,COP25,130
Philippines,COP26,143
Philippines,COP27,124
Philippines,COP28,120
Philippines,COP29,121
Philippines,COP30,149
Pakistan,COP25,131
Pakistan,COP26,125
Pakistan,COP27,159
Pakistan,COP28,119
Pakistan,COP29,127
Pakistan,COP30,123
Iran,COP25,88
Iran,COP26,110
Iran,COP27,103
Iran,COP28,77
Iran,COP29,86
Iran,COP30,93
UAE,COP25,916
UAE,COP26,735
UAE,COP27,658
UAE,COP28,2063
UAE,COP29,843
UAE,COP30,841
Qatar,COP25,113
Qatar,COP26,101
Qatar,COP27,96
Qatar,COP28,87
Qatar,COP29,113
Qatar,COP30,114
Kenya,COP25,131
Kenya,COP26,129
Kenya,COP27,117
Kenya,COP28,136
Kenya,COP29,118
Kenya,COP30,112
Ghana,COP25,75
Ghana,COP26,75
Ghana,COP27,62
Ghana,COP28,81
Ghana,COP29,81
Ghana,COP30,77
Senegal,COP25,60
Senegal,COP26,67
Senegal,COP27,76
Senegal,COP28,65
Senegal,COP29,61
Senegal,COP30,61
Morocco,COP25,109
Morocco,COP26,96
Morocco,COP27,108
Morocco,COP28,110
Morocco,COP29,130
Morocco,COP30,120
